date,tx_count,value_mn_mxn,fx_rate,avg_ticket_mxn
2018-01-02,1753249.0,1010463.71,19.4899,576337.8219522726
2018-01-03,994922.0,812814.68,19.3717,816963.2192272359
2018-01-04,1124257.0,821436.48,19.2427,730648.3126189118
2018-01-05,1663262.0,864775.45,19.2737,519927.3776470574
2018-01-08,1444307.0,858388.97,19.2323,594325.8393125561
2018-01-09,1120276.0,801871.76,19.3065,715780.5397955504
2018-01-10,1226545.0,862396.48,19.2405,703110.3465425239
2018-01-11,1148552.0,961782.91,19.3433,837387.3451093202
2018-01-12,2080279.0,937665.82,19.0446,450740.41510778124
2018-01-15,2419289.0,573163.12,18.8113,236913.870149453
2018-01-16,1430569.0,908350.49,18.8362,634957.4819529852
2018-01-17,1090652.0,1009240.75,18.655,925355.4295962416
2018-01-18,1146547.0,925040.26,18.6361,806805.3555589087
2018-01-19,1698186.0,966709.53,18.5813,569260.0987171016
2018-01-22,1431003.0,983437.86,18.7118,687236.7563170727
2018-01-23,1087658.0,886319.39,18.798,814887.9427172879
2018-01-24,1120236.0,924416.4,18.5178,825197.9047272182
2018-01-25,1199546.0,984179.21,18.478,820459.7489383484
2018-01-26,1737808.0,937381.08,18.4672,539404.2840175669
2018-01-29,1623540.0,1064470.96,18.6196,655648.1269325055
2018-01-30,1801926.0,1012058.29,18.6982,561653.6361648592
2018-01-31,2248925.0,1239600.86,18.6069,551197.0652645152
2018-02-01,1497427.0,973811.73,18.4004,650323.3413047848
2018-02-02,1894045.0,881367.19,18.5248,465335.92918858846
2018-02-06,2084258.0,1015934.1,18.7009,487432.0261695049
2018-02-07,1334120.0,832965.42,18.6492,624355.6951398675
2018-02-08,1262235.0,832215.35,18.8815,659318.8669304844
2018-02-09,1912016.0,869945.76,18.8623,454988.7448640597
2018-02-12,1573096.0,920647.81,18.6703,585245.7891953193
2018-02-13,1252989.0,892463.89,18.6269,712267.9369092626
2018-02-14,1543452.0,869911.26,18.6025,563614.0676872361
2018-02-15,2168894.0,917332.55,18.5159,422949.461799424
2018-02-16,2097556.0,887506.2,18.4797,423114.42459700716
2018-02-19,1627954.0,516681.67,18.536,317381.0009373729
2018-02-20,1252904.0,1037949.75,18.6594,828435.1793912383
2018-02-21,1209150.0,972562.81,18.6518,804335.9467394451
2018-02-22,1237580.0,990257.01,18.6574,800155.9575946606
2018-02-23,1855738.0,989950.07,18.5659,533453.5748042018
2018-02-26,1719092.0,1020045.78,18.6456,593363.112619918
2018-02-27,1797530.0,986885.29,18.7902,549022.9870989636
2018-02-28,2627714.0,1197560.15,18.8331,455742.19644908083
2018-03-01,1635986.0,1022061.92,18.861,624737.5711039092
2018-03-02,1962556.0,984561.72,18.8909,501673.1853766211
2018-03-05,1859392.0,941730.22,18.8838,506472.12637249165
2018-03-06,1318031.0,964966.61,18.7246,732127.4006453566
2018-03-07,1282677.0,841837.57,18.7922,656312.9844847923
2018-03-08,1276826.0,853533.23,18.7148,668480.4585746217
2018-03-09,1984954.0,827866.22,18.5812,417070.73312530166
2018-03-12,1678100.0,897323.98,18.6199,534726.166497825
2018-03-13,1324940.0,849477.14,18.5604,641143.8555708183
2018-03-14,1598129.0,910158.36,18.5854,569514.9515464647
2018-03-15,2334007.0,1010083.14,18.7023,432767.8280313641
2018-03-16,2236503.0,968161.86,18.7216,432890.92838238983
2018-03-20,2239818.0,1150358.48,18.7614,513594.6224202145
2018-03-21,1400315.0,1232604.13,18.6001,880233.4688980693
2018-03-22,1426304.0,1048403.93,18.5078,735049.4214417123
2018-03-23,2128019.0,1162180.24,18.5364,546132.454644437
2018-03-26,1830388.0,1303366.04,18.3268,712070.9051851302
2018-03-27,1876010.0,1227248.29,18.3445,654180.0363537507
2018-03-28,3126487.0,1523693.09,18.2709,487349.888229185
2018-04-02,2567533.0,1153637.46,18.2967,449317.48102166556
2018-04-03,1394733.0,1005846.82,18.2044,721175.1783316233
2018-04-04,1354036.0,880845.44,18.2244,650533.2502237754
2018-04-05,1388223.0,901348.65,18.1081,649282.3199154603
2018-04-06,1947698.0,989736.79,18.2888,508157.214311459
2018-04-09,1712650.0,1051901.38,18.2753,614195.1829036872
2018-04-10,1387689.0,920127.74,18.2882,663064.8077487103
2018-04-11,1169913.0,822042.23,18.2018,702652.4450963448
2018-04-12,1533221.0,947481.98,18.1353,617968.3033300483
2018-04-13,2991583.0,990964.47,18.087,331250.8695229248
2018-04-16,2245860.0,916922.11,18.0394,408272.1585495089
2018-04-17,1427110.0,833236.72,17.9787,583862.9958447492
2018-04-18,1323014.0,795839.76,18.0333,601535.4032534803
